('александр',)
('шеховцов', 'сергей')
('алексеев', 'никита')
('константинов', 'александр')
('журавлев', 'анатолий')
('сэвидж',)
('богданов', 'владимир')
('васильев', 'юрий')
('камышов', 'александр')
('тюрин', 'владимир')
('яковлев', 'владимир')
('захаров', 'вадим')
('филиппов', 'михаил')
('тарасов', 'владимир')
('михайлов', 'борис')
('воробьев', 'сергей')
('кабаков', 'илья')
('родченко', 'александр')
('чуйков', 'иван')
('сапгир', 'генрих')
('волков', 'сергей')
('уткин', 'илья')
('булатов', 'эрик')
