('виктор',)
('анатолий',)
('козловский',)
('алексеев',)
('платон',)
('казанский',)
('герман',)
('успенский',)
('пресняков',)
('горький', 'максим')
('соловейчик',)
('пушкин', 'александр', 'сергеевич')
('кузнецов',)
('толстой', 'лев', 'николаевич')
('верн', 'жюль')
('ходорковский',)
('черчилль', 'уинстон')
('гоголь', 'николай', 'васильевич')
('коляда',)
('чехов', 'антон', 'павлович')
('уайльд', 'оскар')
('гомер',)
('крестовский',)
('левин',)
('данте', 'алигьери')
('сотников',)
('назаров',)
('тургенев', 'иван', 'сергеевич')
('воскресенский',)
('зеленая', 'рина')
('лермонтов', 'михаил', 'юрьевич')
('ард',)
('шабат',)
('афонина',)
('достоевский', 'федор', 'михайлович')
('томас', 'дилан')
('киплинг', 'редьярд')
('гюго', 'виктор')
('кук', 'джеймс')
('крылов', 'иван', 'андреевич')
('василевский',)
('гумилев', 'лев', 'николаевич')
('толстой', 'алексей', 'константинович')
('савин',)
('некрасов', 'николай', 'алексеевич')
('блейк', 'уильям')
('давыдова',)
('лапшина',)
('блейк', 'уильям', 'иллюстратор', 'блейк', 'уильям')
('каменев',)
('тукай', 'габдулла')
('хлебникова',)
('воронов',)
('даль', 'владимир', 'иванович')
('чуковский', 'корней', 'иванович')
('булгаков', 'михаил', 'афанасьевич')
('грибоедов', 'александр', 'сергеевич')
('жуковский', 'василий', 'андреевич')
('чичерин',)
('белый', 'андрей')
('донн', 'джон')
('лихачев', 'дмитрий', 'сергеевич')
('бедный', 'демьян')
('карра',)
('фет', 'афанасий', 'афанасьевич')
('державин', 'гавриил', 'романович')
('карамзин', 'николай', 'михайлович')
('софокл',)
('серебрякова', 'зинаида', 'евгеньевна')
('черняк',)
('эфрон', 'ариадна', 'сергеевна')
('салтыков', 'щедрин', 'михаил', 'евграфович')
('бернс', 'роберт')
('короленко', 'владимир', 'галактионович')
('гораций',)
('князев',)
('тагор', 'рабиндранат')
('чеховская',)
('блок', 'александр', 'александрович')
('блок', 'александр', 'александрович', 'блок', 'александр', 'александрович')
('грин', 'грэм')
('левицкий',)
('сальников',)
('шекспир', 'вильям')
('харди', 'томас')
('хлебников', 'велимир')
('бодлер', 'шарль')
('бальмонт', 'константин', 'дмитриевич', 'бальмонт', 'константин', 'дмитриевич')
('бальмонт', 'константин', 'дмитриевич')
('шиллер', 'фридрих')
('ермолов', 'алексей', 'петрович')
('аксаков', 'сергей', 'тимофеевич')
('гейне', 'генрих')
('бунин', 'иван', 'алексеевич')
('герцен', 'александр', 'иванович')
('никитин', 'иван', 'саввич')
('верлен', 'поль')
('гинзберг', 'аллен')
('антониони', 'микеланджело')
('есенин', 'сергей', 'александрович')
('барабанов',)
('дурова', 'надежда', 'андреевна')
('островский', 'александр', 'николаевич')
('спиноза', 'бенедикт')
('волошин', 'максимилиан', 'александрович')
('еврипид',)
('шелли', 'перси', 'биши')
('лотман', 'юрий', 'михайлович')
('чаадаев', 'петр', 'яковлевич')
('куприянов',)
('хетагуров', 'коста')
('парнок', 'софия', 'яковлевна')
('франс', 'анатоль')
('фолкнер', 'уильям')
('нансен', 'фритьоф')
('протопопов',)
('вяземский', 'петр', 'андреевич', 'вяземский', 'петр', 'андреевич')
('вяземский', 'петр', 'андреевич')
('бредбери', 'рэй')
('лебедев', 'владимир', 'васильевич')
('ильф', 'илья')
('карасик',)
('фрост', 'роберт')
('тарасюк',)
('ибсен', 'генрик')
('мердок', 'айрис')
('мандельштам', 'надежда', 'яковлевна')
('бурже',)
('одоевский', 'владимир', 'федорович')
('шаламов', 'варлам', 'тихонович')
('марло', 'кристофер')
('ахматова', 'анна', 'андреевна', 'ахматова', 'анна', 'андреевна')
('ахматова', 'анна', 'андреевна')
('конрад', 'джозеф')
('гумилев', 'николай', 'степанович')
('пастернак', 'леонид', 'борисович')
('гауф', 'вильгельм')
('джеймс', 'генри')
('тушнова', 'вероника', 'михайловна')
('майков', 'аполлон', 'николаевич')
('неизвестный', 'художник')
('мицкевич', 'адам')
